RUA,NUM,IDD,SEXO
RUA W,417,88,M
RUA K,118,21,F
RUA W,2,27,F
RUA J,914,15,F
RUA N,273,73,F
RUA P,106,65,F
RUA B,6,16,F
RUA L,963,83,M
RUA D,87,21,M
RUA P,156,85,M
RUA U,355,15,F
RUA V,315,35,M
RUA V,201,99,F
RUA W,951,7,F
RUA M,646,2,M
RUA G,316,30,F
RUA H,472,63,F
RUA E,146,0,F
RUA O,544,91,M
RUA V,995,70,F
RUA N,275,39,F
RUA Q,126,38,M
RUA K,41,37,F
RUA R,439,33,M
RUA G,589,87,M
RUA C,125,4,M
RUA X,648,32,M
RUA K,775,77,F
RUA R,313,36,M
RUA S,392,49,F
RUA N,348,41,F
RUA K,98,48,F
RUA B,914,49,F
RUA I,990,58,F
RUA E,48,82,F
RUA I,947,76,F
RUA E,896,56,F
RUA T,656,82,M
RUA X,50,10,M
RUA I,766,63,F
RUA P,194,52,F
RUA Q,568,12,F
RUA L,225,47,M
RUA I,854,59,F
RUA V,869,93,F
RUA F,421,72,F
RUA G,804,68,F
RUA E,727,100,F
RUA K,685,12,F
RUA R,773,28,F
RUA B,848,86,M
RUA E,653,67,F
RUA G,948,55,F
RUA E,23,29,M
RUA K,14,91,F
RUA M,481,27,F
RUA X,368,51,M
RUA M,933,96,F
RUA A,529,79,F
RUA T,85,99,M
RUA I,526,15,F
RUA P,499,31,M
RUA K,883,59,M
RUA C,265,87,M
RUA A,986,96,F
RUA J,263,78,F
RUA W,720,64,M
RUA F,370,86,M
RUA V,197,84,M
RUA M,643,82,F
RUA C,843,67,F
RUA W,640,19,M
RUA H,855,20,F
RUA B,271,16,M
RUA U,84,58,F
RUA Q,950,24,M
RUA D,750,71,F
RUA R,106,95,M
RUA V,659,19,M
RUA D,367,74,F
RUA H,62,87,M
RUA I,200,90,F
RUA S,97,13,F
RUA G,699,54,M
RUA E,100,11,M
RUA S,318,4,F
RUA D,591,90,M
RUA R,313,96,M
RUA X,334,47,M
RUA K,159,7,F
RUA T,465,43,M
RUA A,972,35,F
RUA B,9,29,M
RUA P,778,49,M
RUA U,23,83,M
RUA K,746,13,F
RUA H,896,46,M
RUA L,740,94,M
RUA L,879,73,F
RUA N,576,97,M
RUA J,126,7,M
RUA E,897,60,F
RUA H,841,95,F
RUA W,550,13,F
RUA E,229,0,M
RUA K,24,84,M
RUA W,506,70,M
RUA X,672,58,F
RUA I,85,73,M
RUA F,219,12,F
RUA X,303,19,F
RUA O,302,5,M
RUA M,837,84,M
RUA S,631,81,F
RUA P,516,66,F
RUA C,923,28,F
RUA U,262,3,F
RUA V,73,32,M
RUA U,971,37,M
RUA N,363,18,F
RUA T,264,87,M
RUA S,470,16,F
RUA P,68,15,F
RUA B,777,58,F
RUA P,948,17,M
RUA E,220,25,M
RUA V,613,39,F
RUA H,915,44,M
RUA P,717,10,F
RUA U,119,82,M
RUA L,741,71,M
RUA E,932,66,F
RUA S,683,37,M
RUA S,915,31,M
RUA B,164,64,M
RUA P,531,13,M
RUA H,340,97,F
RUA I,383,52,M
RUA B,264,18,F
RUA C,836,69,F
RUA O,23,62,M
RUA R,704,64,M
RUA U,704,70,M
RUA D,324,9,F
RUA I,625,72,M
RUA J,450,54,M
RUA L,885,89,F
RUA C,268,46,M
RUA A,782,94,F
RUA U,763,46,F
RUA A,499,91,F
RUA R,436,51,M
RUA C,462,31,F
RUA M,107,35,F
RUA D,318,66,M
RUA G,609,61,F
RUA G,518,62,M
RUA C,802,1,M
RUA D,494,33,F
RUA B,839,61,M
RUA M,544,19,F
RUA F,283,84,F
RUA P,680,82,M
RUA H,265,62,M
RUA D,167,3,F
RUA O,142,28,F
RUA B,78,22,F
RUA K,299,65,M
RUA R,688,38,F
RUA L,482,67,M
RUA V,80,32,M
RUA C,321,20,M
RUA U,258,2,F
RUA D,486,46,F
RUA B,457,23,M
RUA E,806,40,M
RUA J,435,81,F
RUA Q,353,13,F
RUA T,104,32,M
RUA U,748,9,M
RUA V,367,14,F
RUA F,728,45,M
RUA G,353,15,M
RUA P,23,85,M
RUA T,404,63,F
RUA O,789,10,F
RUA C,298,16,F
RUA H,772,11,F
RUA V,482,16,F
RUA B,443,64,M
RUA G,425,94,F
RUA O,627,83,M
RUA E,535,10,M
RUA L,825,79,M
RUA I,117,34,M
RUA S,847,15,M
RUA G,108,34,M
RUA W,260,14,M
RUA X,832,81,F
RUA N,899,20,M
RUA B,613,90,M
RUA R,534,94,F
RUA H,185,43,M
RUA X,894,37,F
RUA O,333,64,M
RUA O,633,57,F
RUA P,546,66,M
RUA X,584,19,M
RUA J,5,72,F
RUA J,498,52,F
RUA E,445,19,F
RUA V,6,13,M
RUA J,848,11,F
RUA D,582,67,F
RUA B,278,54,F
RUA P,788,40,F
RUA O,437,1,M
RUA H,286,17,M
RUA A,640,20,M
RUA D,33,12,M
RUA K,365,81,M
RUA W,685,68,M
RUA W,845,72,M
RUA X,909,64,M
RUA N,472,14,F
RUA T,198,54,M
RUA O,598,90,M
RUA V,717,19,F
RUA I,387,54,F
RUA W,789,0,F
RUA S,295,37,M
RUA R,169,26,F
RUA R,650,59,M
RUA L,695,85,F
RUA H,909,3,M
RUA S,352,5,F
RUA P,425,48,M
RUA I,430,60,M
RUA D,77,94,F
RUA X,663,95,F
RUA Q,333,44,F
RUA C,206,42,M
RUA O,868,64,F
RUA G,248,88,M
RUA F,322,95,M
RUA J,388,34,F
RUA Q,624,57,F
RUA S,36,54,F
RUA O,70,80,F
RUA Q,708,55,F
RUA D,186,44,M
RUA K,270,41,F
RUA X,520,10,F
RUA J,513,43,M
RUA W,181,72,M
RUA H,338,32,M
RUA V,53,80,F
RUA U,526,55,M
RUA U,271,18,M
RUA Q,624,30,M
RUA H,907,32,M
RUA S,2,50,M
RUA S,466,88,F
RUA P,643,30,F
RUA U,172,94,F
RUA A,611,81,M
RUA B,191,63,M
RUA A,614,85,M
RUA X,156,52,F
RUA H,442,57,M
RUA R,935,72,M
RUA E,678,76,M
RUA R,787,49,M
RUA P,280,28,M
RUA N,187,92,M
RUA D,537,0,F
RUA W,480,29,M
RUA C,271,84,F
RUA I,321,72,F
RUA B,665,54,M
RUA H,256,57,M
RUA B,613,3,F
RUA S,649,85,F
RUA C,580,4,M
RUA H,322,46,M
RUA D,340,69,F
RUA B,52,48,M
RUA Q,666,71,M
RUA N,292,88,M
RUA G,949,57,F
RUA C,938,86,F
RUA A,889,56,F
RUA K,106,81,F
RUA D,367,26,F
RUA V,716,41,M
RUA P,997,15,M
RUA W,255,31,M
RUA E,532,42,M
RUA V,619,22,F
RUA T,480,96,F
RUA M,967,16,F
RUA Q,662,40,M
RUA H,534,80,M
RUA K,767,8,F
RUA W,860,59,M
RUA L,636,96,F
RUA G,376,57,M
RUA H,138,21,F
RUA J,2,73,M
RUA W,888,31,M
RUA J,281,77,F
RUA B,163,83,M
RUA D,700,6,M
RUA O,891,61,F
RUA L,290,58,F
RUA N,333,5,F
RUA Q,645,69,M
RUA H,936,44,M
RUA T,535,75,M
RUA G,280,96,M
RUA K,118,73,M
RUA P,194,21,M
RUA K,749,23,M
RUA A,213,82,F
RUA B,28,46,F
RUA J,175,93,F
RUA D,521,1,M
RUA Q,110,27,M
RUA I,763,82,M
RUA R,824,67,M
RUA C,519,42,M
RUA P,208,40,F
RUA D,10,79,M
RUA A,823,80,F
RUA K,286,86,F
RUA X,723,79,M
RUA H,255,97,F
RUA C,101,90,F
RUA B,849,65,F
RUA N,449,0,F
RUA G,977,25,F
RUA T,902,16,F
RUA M,727,83,F
RUA A,394,55,F
RUA I,642,41,F
RUA T,116,35,F
RUA Q,834,58,M
RUA L,287,54,M
RUA R,948,34,M
RUA J,331,68,F
RUA U,409,100,F
RUA K,280,61,F
RUA G,929,25,M
RUA M,735,32,F
RUA V,331,42,F
RUA T,165,55,M
RUA E,185,60,M
RUA H,89,96,F
RUA X,742,46,F
RUA K,83,40,F
RUA P,779,48,F
RUA Q,249,56,F
RUA T,79,15,F
RUA E,393,27,F
RUA X,909,56,M
RUA U,556,58,M
RUA H,255,84,M
RUA O,344,15,F
RUA E,294,11,M
RUA L,746,41,M
RUA K,709,23,F
RUA Q,580,45,M
RUA T,486,81,M
RUA H,229,67,M
RUA P,110,26,M
RUA T,651,84,F
RUA V,929,70,M
RUA G,640,81,F
RUA Q,797,13,M
RUA O,89,48,M
RUA L,240,2,F
RUA B,122,22,M
RUA Q,776,64,M
RUA D,460,61,F
RUA A,806,49,F
RUA V,298,6,F
RUA J,651,73,F
RUA O,845,68,F
RUA H,337,42,F
RUA A,638,48,M
RUA A,278,92,M
RUA A,201,82,F
RUA N,904,12,M
RUA V,332,4,M
RUA N,854,97,F
RUA U,743,27,M
RUA M,497,92,F
RUA N,542,16,M
RUA W,50,57,M
RUA K,77,24,M
RUA X,551,64,M
RUA B,259,85,F
RUA V,970,91,M
RUA B,620,6,M
RUA U,558,100,F
RUA V,499,14,M
RUA L,859,25,F
RUA F,86,49,M
RUA P,923,79,F
RUA T,510,32,M
RUA H,526,42,F
RUA C,196,51,F
RUA B,773,42,F
RUA F,88,57,F
RUA Q,112,17,M
RUA R,741,0,M
RUA I,191,53,M
RUA R,729,42,M
RUA W,523,80,F
RUA W,439,44,F
RUA X,391,98,F
RUA X,1000,22,F
RUA I,982,23,M
RUA R,256,97,M
RUA U,606,64,M
RUA L,907,5,M
RUA W,509,90,F
RUA C,495,74,F
RUA A,584,35,F
RUA F,15,58,F
RUA F,164,56,M
RUA W,214,24,F
RUA X,204,83,M
RUA V,857,79,M
RUA B,762,90,M
RUA A,610,36,F
RUA P,946,37,F
RUA X,541,67,M
RUA J,296,57,F
RUA L,766,46,M
RUA D,428,34,M
RUA M,171,21,F
RUA D,624,41,F
RUA H,749,15,F
RUA W,255,51,M
RUA R,13,41,M
RUA X,325,93,M
RUA I,384,63,M
RUA V,266,79,F
RUA T,261,75,M
RUA P,615,9,M
RUA W,172,77,F
RUA F,934,69,M
RUA I,143,42,F
RUA W,479,70,M
RUA A,130,81,M
RUA O,194,93,F
RUA A,629,40,M
RUA J,429,97,F
RUA G,988,39,F
RUA D,408,15,F
RUA B,913,65,F
RUA I,798,91,F
RUA U,128,49,F
RUA Q,227,72,M
RUA K,168,79,F
RUA B,261,4,F
RUA G,89,0,M
RUA Q,360,95,M
RUA J,445,65,M
RUA X,360,50,M
RUA P,571,41,M
RUA A,760,94,F
RUA L,817,81,F
RUA H,148,74,F
RUA P,114,85,F
RUA C,328,5,M
RUA U,647,67,F
RUA L,787,29,M
RUA D,202,37,F
RUA X,69,33,M
RUA W,924,11,M
RUA F,29,0,M
RUA X,153,25,M
RUA S,114,50,F
RUA M,580,54,F
RUA E,828,99,M
RUA Q,151,37,M
RUA O,58,50,F
RUA W,241,36,F
RUA C,367,71,F
RUA P,671,14,M
RUA Q,742,73,M
RUA U,613,26,F
RUA A,379,5,M
RUA H,857,37,F
RUA F,273,87,F
RUA J,842,0,F
RUA W,897,51,M
RUA W,253,68,M
RUA N,989,38,F
RUA X,977,70,F
RUA P,432,70,F
RUA J,510,2,M
RUA O,968,58,M
RUA P,318,41,F
RUA M,207,64,F
RUA J,136,45,F
RUA L,917,80,F
RUA U,428,56,F
RUA F,562,81,M
RUA K,691,37,F
RUA I,99,93,M
RUA S,320,92,M
RUA D,247,59,M
RUA S,875,96,M
RUA U,829,10,M
RUA F,180,32,M
RUA L,984,59,M
RUA P,484,25,M
RUA J,630,30,F
RUA J,16,79,M
RUA C,126,99,F
RUA G,837,93,M
RUA O,711,45,M
RUA B,722,0,F
RUA L,12,30,F
RUA K,735,89,M
RUA D,987,94,M
RUA S,126,66,M
RUA S,243,58,F
RUA G,431,79,M
RUA G,596,69,F
RUA D,223,76,M
RUA A,591,34,F
RUA F,160,13,M
RUA T,595,17,M
RUA J,188,18,M
RUA N,50,5,M
RUA M,510,0,M
RUA O,521,4,M
RUA L,401,6,F
RUA D,64,83,M
RUA X,339,82,M
RUA V,735,61,F
RUA B,558,10,M
RUA S,110,64,M
RUA F,244,53,F
RUA E,93,59,M
RUA Q,182,69,F
RUA B,916,77,F
RUA T,545,74,F
RUA K,150,84,M
RUA N,935,12,M
RUA C,601,50,M
RUA C,303,95,M
RUA O,933,89,M
RUA Q,20,13,M
RUA X,367,73,M
RUA V,781,10,M
RUA W,638,24,F
RUA G,515,88,F
RUA M,168,31,F
RUA K,389,43,M
RUA V,878,95,M
RUA D,657,60,F
RUA X,12,86,F
RUA W,16,41,M
RUA Q,364,5,F
RUA H,374,14,F
RUA S,807,68,F
RUA V,694,0,F
RUA U,402,50,F
RUA T,260,37,F
RUA U,548,34,M
RUA S,359,26,F
RUA S,897,92,M
RUA O,543,78,F
RUA J,213,45,F
RUA E,456,90,F
RUA M,474,22,M
RUA T,326,92,F
RUA U,35,56,F
RUA X,666,23,M
RUA C,353,96,F
RUA N,431,13,M
RUA X,392,55,M
RUA P,378,7,F
RUA D,653,16,M
RUA I,199,44,F
RUA O,917,93,M
RUA H,916,76,M
RUA Q,120,92,M
RUA X,243,3,M
RUA O,54,62,M
RUA W,347,14,M
RUA U,938,51,M
RUA F,91,40,M
RUA R,644,1,M
RUA I,821,31,M
RUA R,842,17,M
RUA G,731,70,F
RUA B,23,23,M
RUA X,682,86,F
RUA K,57,86,F
RUA H,860,80,M
RUA G,966,30,M
RUA I,463,3,F
RUA R,142,22,M
RUA I,885,7,M
RUA U,998,71,F
RUA O,955,50,F
RUA I,744,27,M
RUA K,4,55,F
RUA W,792,90,M
RUA H,720,57,F
RUA M,609,74,F
RUA G,170,53,F
RUA F,725,34,M
RUA K,400,99,F
RUA J,284,86,F
RUA O,103,71,M
RUA T,298,29,M
RUA D,136,27,F
RUA L,31,53,M
RUA D,163,41,F
RUA S,969,18,F
RUA S,129,59,F
RUA G,161,21,M
RUA K,123,45,M
RUA B,105,7,F
RUA U,944,98,F
RUA S,844,52,M
RUA A,404,54,M
RUA G,341,11,M
RUA U,610,1,M
RUA F,543,70,F
RUA W,513,34,F
RUA P,506,20,F
RUA V,394,48,M
RUA P,63,52,F
RUA A,975,39,F
RUA Q,949,85,M
RUA A,499,45,M
RUA D,890,7,F
RUA V,611,84,M
RUA H,639,53,M
RUA Q,322,27,M
RUA X,447,65,F
RUA G,854,68,F
RUA R,800,44,M
RUA N,170,59,F
RUA W,224,75,M
RUA Q,947,3,M
RUA J,277,28,M
RUA R,35,91,M
RUA U,920,28,F
RUA N,893,75,M
RUA S,155,38,M
RUA X,191,100,F
RUA A,266,10,F
RUA N,471,47,F
RUA G,31,33,M
RUA L,724,4,F
RUA Q,560,95,F
RUA C,294,53,M
RUA R,254,77,M
RUA X,898,99,F
RUA R,776,61,M
RUA L,395,86,F
RUA T,927,42,M
RUA D,79,96,F
RUA W,451,39,M
RUA K,94,73,F
RUA Q,136,31,M
RUA P,553,50,F
RUA O,68,98,M
RUA I,344,0,M
RUA K,790,61,F
RUA N,508,2,M
RUA X,620,74,M
RUA O,998,37,F
RUA W,773,11,F
RUA V,473,23,M
RUA E,511,43,F
RUA T,914,91,F
RUA R,938,95,M
RUA L,135,57,F
RUA M,251,66,F
RUA A,136,39,F
RUA V,512,27,F
RUA F,502,62,F
RUA P,881,19,F
RUA Q,588,34,M
RUA P,920,46,M
RUA I,90,32,F
RUA W,967,65,F
RUA T,195,15,M
RUA S,663,55,M
RUA O,995,29,M
RUA U,952,47,M
RUA A,264,98,F
RUA F,662,64,F
RUA T,764,2,M
RUA L,692,15,F
RUA F,316,75,F
RUA U,993,2,M
RUA A,922,57,F
RUA D,253,77,M
RUA F,908,62,F
RUA L,606,5,F
RUA C,757,49,F
RUA K,213,38,M
RUA T,423,45,F
RUA J,607,89,F
RUA R,743,93,F
RUA O,567,88,M
RUA V,21,63,F
RUA W,578,44,F
RUA P,572,56,F
RUA M,189,25,F
RUA Q,153,76,M
RUA M,746,25,M
RUA M,646,15,F
RUA R,975,8,M
RUA L,329,47,F
RUA O,822,45,M
RUA B,192,20,F
RUA J,106,76,M
RUA F,965,13,F
RUA Q,608,53,M
RUA C,865,78,M
RUA C,902,78,M
RUA C,185,38,M
RUA F,759,93,M
RUA V,129,35,F
RUA K,56,52,F
RUA E,655,39,M
RUA C,1,64,F
RUA H,8,83,F
RUA D,681,50,M
RUA S,854,82,M
RUA C,461,19,F
RUA I,923,74,M
RUA T,556,49,F
RUA S,32,16,M
RUA M,215,19,F
RUA F,9,48,M
RUA M,778,81,M
RUA Q,322,68,M
RUA G,717,92,F
RUA F,972,32,F
RUA F,650,88,F
RUA K,899,43,F
RUA V,75,85,M
RUA J,645,10,M
RUA W,646,5,F
RUA J,847,25,M
RUA H,915,30,M
RUA L,742,42,F
RUA Q,350,21,F
RUA L,918,85,M
RUA B,336,38,M
RUA M,945,26,M
RUA V,795,10,F
RUA G,877,23,F
RUA I,818,27,M
RUA S,786,48,M
RUA W,734,27,F
RUA P,83,82,F
RUA G,728,27,M
RUA D,192,89,M
RUA B,138,92,F
RUA C,500,59,M
RUA X,83,29,M
RUA C,273,35,M
RUA W,151,89,F
RUA M,501,76,F
RUA N,439,13,M
RUA Q,352,24,F
RUA U,740,52,F
RUA T,698,24,M
RUA S,822,34,F
RUA D,354,5,M
RUA Q,787,27,M
RUA B,614,5,F
RUA J,555,19,M
RUA D,565,42,F
RUA J,529,35,M
RUA I,406,35,F
RUA L,789,12,M
RUA L,608,68,M
RUA N,470,69,F
RUA O,543,80,M
RUA R,962,14,F
RUA S,679,72,M
RUA M,179,98,F
RUA K,363,92,F
RUA R,336,18,F
RUA B,907,74,M
RUA V,268,17,M
RUA C,409,82,F
RUA F,158,95,F
RUA C,530,13,M
RUA I,533,72,F
RUA N,669,52,F
RUA X,104,78,F
RUA A,494,89,F
RUA P,525,10,M
RUA Q,17,37,F
RUA J,450,11,M
RUA H,666,71,F
RUA L,620,26,F
RUA J,152,31,M
RUA J,212,83,F
RUA U,367,22,M
RUA U,481,95,F
RUA K,395,40,F
RUA D,456,37,M
RUA W,973,57,F
RUA R,154,58,M
RUA H,82,58,M
RUA M,580,52,M
RUA V,881,11,F
RUA R,976,16,F
RUA G,96,65,F
RUA I,405,17,M
RUA M,138,30,F
RUA K,673,60,F
RUA N,71,18,F
RUA H,54,63,F
RUA H,618,97,M
RUA R,821,76,F
RUA M,7,70,F
RUA G,689,74,M
RUA O,232,17,F
RUA U,909,8,F
RUA J,609,71,F
RUA I,847,64,F
RUA T,100,32,M
RUA I,492,80,M
RUA J,199,34,M
RUA T,819,36,F
RUA W,10,9,F
RUA I,71,11,M
RUA S,762,59,M
RUA R,708,89,M
RUA M,507,43,M
RUA H,997,95,M
RUA X,437,32,F
RUA M,231,34,M
RUA H,523,54,F
RUA P,14,40,F
RUA M,528,52,M
RUA B,154,34,F
RUA K,284,89,F
RUA E,53,87,F
RUA G,556,31,F
RUA D,426,56,F
RUA G,76,52,F
RUA D,87,20,F
RUA X,746,52,F
RUA Q,860,7,M
RUA A,235,21,M
RUA W,483,61,F
RUA G,763,24,M
RUA I,530,83,F
RUA U,433,32,F
RUA C,137,23,F
RUA U,97,34,M
RUA I,413,68,F
RUA O,206,14,F
RUA R,364,60,M
RUA Q,3,63,M
RUA X,489,94,F
RUA F,338,21,F
RUA E,304,4,M
RUA F,586,86,F
RUA V,459,34,F
RUA I,641,92,F
RUA K,884,46,F
RUA R,233,64,M
RUA A,178,14,F
RUA V,228,52,F
RUA B,861,24,M
RUA X,395,81,M
RUA V,861,19,F
RUA F,641,19,M
RUA O,47,31,F
RUA H,3,89,F
RUA M,414,65,M
RUA W,732,12,M
RUA H,258,83,M
RUA L,230,74,M
RUA C,480,17,M
RUA R,710,49,M
RUA X,231,79,F
RUA W,262,30,M
RUA Q,855,18,F
RUA S,222,75,M
RUA X,813,17,F
RUA K,83,31,F
RUA R,280,88,M
RUA F,71,57,M
RUA P,234,68,F
RUA B,500,5,F
RUA C,709,35,F
RUA N,614,47,F
RUA K,655,20,F
RUA D,462,31,F
RUA S,873,87,M
RUA O,376,43,M
RUA R,152,48,M
RUA N,638,14,F
RUA A,211,45,M
RUA H,26,86,M
RUA C,429,21,F
RUA N,748,91,M
RUA W,554,30,F
RUA F,906,53,F
RUA H,239,35,M
RUA X,853,72,M
RUA Q,723,3,M
RUA N,105,2,M
RUA T,934,34,M
RUA G,478,10,M
RUA X,854,70,F
RUA M,308,61,F
RUA I,377,16,M
RUA D,990,0,M
RUA P,634,62,M
RUA W,644,6,M
RUA E,589,6,F
RUA N,298,9,F
RUA O,502,67,F
RUA W,988,66,M
RUA M,535,78,M
RUA L,517,89,M
RUA C,106,90,M
RUA A,663,91,M
RUA K,600,94,F
RUA E,394,14,F
RUA D,96,48,M
RUA A,854,83,F
RUA N,640,61,M
RUA R,177,24,F
RUA X,177,13,M
RUA P,691,54,M
RUA F,121,38,M
RUA T,177,82,M
RUA W,32,99,F
RUA M,331,68,M
RUA F,532,62,F
RUA T,808,58,M
RUA O,155,95,M
RUA S,408,100,F
RUA T,317,54,F
RUA U,190,26,F
RUA C,666,52,M
RUA M,232,23,F
RUA F,256,63,M
RUA C,728,4,M
RUA O,419,74,M
RUA W,934,94,F
RUA R,635,73,F
RUA V,59,11,F
RUA D,384,58,M
RUA B,398,49,M
RUA A,342,4,M
RUA Q,750,50,M
RUA I,599,47,F
RUA M,194,34,F
RUA A,671,37,F
RUA C,890,53,M
RUA I,503,99,M
RUA G,869,99,F
RUA I,411,37,F
RUA F,806,49,F
RUA M,231,94,F
RUA J,567,43,M
RUA L,78,49,F
RUA P,925,91,M
RUA X,860,39,M
RUA A,441,70,F
RUA T,139,31,F
RUA N,930,52,F
RUA O,238,14,F
RUA C,235,29,F
RUA A,959,68,F
RUA S,1000,76,M
RUA D,354,77,M
RUA A,977,71,F
RUA U,442,79,F
RUA A,531,89,F
RUA V,696,26,F
RUA J,983,8,F
RUA E,217,97,M
RUA X,446,55,M
RUA Q,688,63,F
RUA V,218,9,M
RUA L,952,8,F
RUA A,658,62,M
RUA O,645,17,F
RUA M,480,7,M
RUA S,932,72,F
RUA A,81,1,F
RUA B,383,9,M
RUA W,525,76,M
RUA H,528,83,F
RUA W,462,39,F
RUA B,972,62,M
RUA U,826,69,M
RUA B,98,13,F
RUA X,11,15,M
RUA D,234,74,F
RUA J,882,16,F
RUA L,994,53,M
RUA I,901,95,F
RUA K,970,90,F
RUA T,40,60,M
RUA J,124,27,F
RUA E,731,46,M
RUA D,462,83,M
RUA J,498,55,F
RUA O,418,62,M
RUA Q,584,74,F
RUA O,795,44,M
RUA X,382,61,M
RUA B,142,27,M
RUA L,590,30,M
RUA O,281,44,M
RUA T,62,15,F
RUA K,400,0,M
RUA M,836,47,M
RUA U,785,20,M
RUA J,310,95,M
RUA W,675,100,F
RUA K,477,63,F
RUA T,922,5,M
RUA W,196,4,F
RUA I,578,97,F
RUA F,531,67,M
RUA X,223,55,M
RUA N,245,50,F
RUA F,461,54,F
RUA D,278,50,F
RUA P,629,74,M
RUA H,118,26,M
RUA B,683,69,F
RUA V,368,76,F
RUA T,162,5,F
RUA W,12,74,F
RUA Q,146,65,M
RUA N,795,93,F
RUA J,273,76,F
RUA C,950,6,F
RUA J,129,55,M
RUA O,217,34,F
RUA I,458,9,F
RUA H,791,28,M
RUA X,581,86,F
RUA H,678,30,M
RUA L,578,90,M
RUA E,833,78,M
RUA Q,734,44,F
RUA Q,44,20,F
RUA J,462,82,M
RUA X,21,13,F
RUA R,961,97,F
RUA U,737,51,M
RUA J,38,70,M
RUA I,379,87,M
RUA K,64,79,F
RUA A,965,24,M
RUA E,832,78,F
RUA O,469,41,M
RUA C,198,26,F
RUA C,391,66,M
RUA N,241,83,F
RUA R,170,46,F
RUA L,454,19,M
RUA W,436,10,M
RUA E,621,70,F
RUA V,469,50,F
RUA X,304,11,M
RUA H,977,77,M
RUA F,755,33,F
RUA O,959,43,F
RUA A,994,94,F
RUA R,55,31,M
RUA O,205,20,M
RUA V,218,43,M
RUA A,318,64,M
RUA J,779,57,M
RUA P,750,78,F
RUA C,916,28,F
RUA U,677,91,M
RUA M,278,78,M
RUA H,897,24,M
RUA V,784,86,F
RUA W,32,8,F
RUA L,384,42,F
RUA M,359,89,M
RUA R,389,74,M
RUA X,56,16,M
RUA B,925,46,F
RUA A,846,23,M
RUA D,101,77,F
RUA W,379,68,M
RUA A,355,11,F
RUA L,191,52,M
RUA I,155,22,M
RUA N,77,97,M
RUA N,365,75,M
RUA B,275,19,F
RUA L,821,9,F
RUA X,470,47,F
RUA O,381,2,M
RUA S,680,51,M
RUA E,555,75,F
RUA X,313,20,F
RUA X,988,19,F
RUA G,647,80,F
RUA V,664,75,F
RUA M,716,99,F
RUA C,144,82,M
RUA W,782,63,F
RUA E,547,75,M
RUA J,503,74,M
RUA A,128,29,M
RUA B,751,46,M
RUA L,957,58,F
RUA V,266,100,M
RUA J,41,25,M
RUA O,933,83,M
RUA H,371,14,F
RUA D,466,33,M
RUA J,274,41,F
RUA Q,742,39,F
RUA S,491,15,M
RUA P,493,5,F
RUA A,857,90,F
RUA O,387,19,M
RUA C,225,29,F
RUA E,408,21,F
RUA L,488,33,M
RUA B,974,17,M
RUA M,223,26,M
RUA D,950,72,F
RUA E,570,48,M
RUA L,979,97,F
RUA Q,143,51,M
RUA C,284,40,M
RUA W,340,78,M
RUA C,17,99,F
RUA I,980,56,F
RUA G,215,74,M
RUA B,876,42,M
RUA T,571,66,M
RUA M,942,81,M
RUA B,630,24,M
RUA R,69,82,F
RUA F,117,79,F
RUA U,793,47,F
RUA X,626,51,F
RUA T,350,2,M
RUA X,487,16,F
RUA W,395,40,M
RUA U,438,67,F
RUA M,540,80,M
RUA L,55,92,F
RUA E,49,7,M
RUA V,737,34,F
RUA D,151,95,M
RUA J,918,39,F
RUA V,497,81,F
RUA H,76,94,F
RUA T,735,74,F
RUA K,840,15,M
RUA C,152,23,M
RUA Q,542,67,M
RUA S,401,23,F
RUA R,924,52,M
RUA R,389,99,M
RUA R,402,41,M
RUA H,80,36,F
RUA E,311,80,F
RUA D,590,90,M
RUA J,90,33,M
RUA S,929,0,F
RUA I,513,48,F
RUA F,123,28,F
RUA M,187,96,F
RUA U,922,13,F
RUA N,556,19,F
RUA U,267,68,F
RUA G,962,77,F
RUA H,385,51,M
RUA Q,158,16,M
RUA E,877,1,F
RUA F,573,7,M
RUA S,212,34,M
RUA R,85,92,M
RUA X,566,55,F
RUA O,530,90,F
RUA A,790,30,F
RUA R,466,96,M
RUA X,788,19,M
RUA K,289,81,M
RUA G,522,22,M
RUA G,255,40,M
RUA O,623,64,M
RUA M,283,54,M
RUA X,601,74,F
RUA W,8,34,F
RUA M,36,6,M
RUA U,191,68,M
RUA L,680,30,F
RUA V,610,52,F
RUA M,426,75,F
RUA V,763,98,F
RUA C,670,35,F
RUA R,882,52,M
RUA B,562,100,M
RUA L,184,3,M
RUA K,767,34,M
RUA H,614,53,M
RUA P,406,21,F
RUA Q,511,37,F
RUA J,332,30,M
RUA A,315,47,F
RUA Q,676,67,M
RUA U,697,97,M
RUA S,373,22,F
RUA A,929,52,F
RUA S,928,0,F
RUA U,695,57,F
RUA P,316,29,F
RUA E,154,43,F
RUA T,510,24,F
RUA Q,214,20,M
RUA B,364,49,M
RUA V,95,57,M
RUA L,850,42,M
RUA O,402,88,M
RUA N,862,86,F
RUA W,924,96,F
RUA U,851,95,M
RUA W,167,55,F
RUA R,147,99,F
RUA K,187,66,M
RUA E,9,55,M
RUA F,550,48,F
RUA Q,222,93,F
RUA M,155,83,F
RUA U,821,64,F
RUA W,689,24,M
RUA Q,94,55,F
RUA R,602,45,M
RUA T,416,12,F
RUA J,939,54,F
RUA W,331,26,M
RUA M,353,27,M
RUA T,31,78,M
RUA M,532,46,F
